#{"t_start": 1724151161.8511932, "env_id": "None"}
r,l,t,arousal,satiety,social-touch
-229.9787,500,2066.500247,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
1883.0536,500,2177.145581,pursuer_0_0.5036873056527691,pursuer_0_1.4556841341394053,pursuer_0_0
1824.3807,500,2177.145966,pursuer_1_0.4953779314013593,pursuer_1_1.237952559010369,pursuer_1_0
2388.3289,500,2177.146018,pursuer_0_0.44008135328730363,pursuer_0_1.0742773965473953,pursuer_0_0
2309.02,500,2177.146053,pursuer_1_0.4364677934647619,pursuer_1_1.4285744781611212,pursuer_1_0
-120.304886,500,2177.146085,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2518.7368,500,2177.146117,pursuer_1_0.4135412233651365,pursuer_1_1.022664461749884,pursuer_1_0
1895.3169,500,2177.146148,pursuer_0_0.4975071038053931,pursuer_0_1.1781603255579052,pursuer_0_0
-265.8048,500,2177.146179,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
3017.1575,500,2177.14621,pursuer_0_0.36794208472005085,pursuer_0_1.3330253070593912,pursuer_0_0
2775.9248,500,2177.146241,pursuer_1_0.38185815259285,pursuer_1_1.2696469005517588,pursuer_1_0
2271.6562,500,2177.146272,pursuer_0_0.4511922751057747,pursuer_0_1.427848647259588,pursuer_0_0
2617.5718,500,2177.146306,pursuer_1_0.3985867880584684,pursuer_1_1.3981677796629361,pursuer_1_0
2731.7727,500,2177.146338,pursuer_0_0.3982800274805305,pursuer_0_1.0832012156123925,pursuer_0_0
1326.1805,500,2177.146379,pursuer_1_0.5603822836879949,pursuer_1_1.4361586171273168,pursuer_1_0
2619.449,500,2177.146427,pursuer_0_0.4131382698354158,pursuer_0_1.0531997213321562,pursuer_0_0
2672.518,500,2177.146468,pursuer_1_0.39559113402131785,pursuer_1_1.3249381188166005,pursuer_1_0
2403.2842,500,5153.976812,pursuer_0_0.43602193798887234,pursuer_0_1.0968350859154121,pursuer_0_0
1709.2299,500,5153.977924,pursuer_1_0.5002886130182753,pursuer_1_1.179633010422256,pursuer_1_0
2479.7102,500,5153.978151,pursuer_0_0.4325519818656452,pursuer_0_1.3488350732304724,pursuer_0_0
2029.464,500,5153.978351,pursuer_1_0.46983132278899914,pursuer_1_1.1307163852885023,pursuer_1_0
1849.6621,500,5153.978481,pursuer_0_0.5019048725873578,pursuer_0_1.1792995074174986,pursuer_0_0
2002.7972,500,5153.978597,pursuer_1_0.4706644520306426,pursuer_1_1.4685130509679447,pursuer_1_0
3075.0945,500,5153.978713,pursuer_0_0.3568022358760266,pursuer_0_1.3427347781020254,pursuer_0_0
-234.87263,500,5153.978862,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2328.9639,500,5153.978977,pursuer_0_0.44627918500104363,pursuer_0_1.0891815941764669,pursuer_0_0
2643.8228,500,5153.979122,pursuer_1_0.3970450037791562,pursuer_1_1.1635691584464276,pursuer_1_0
-140.27765,500,5153.979241,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2409.426,500,5153.979353,pursuer_1_0.4257939216899444,pursuer_1_1.0609454767146447,pursuer_1_0
2848.4478,500,5153.979463,pursuer_0_0.38389025895418855,pursuer_0_1.3850815958067864,pursuer_0_0
2039.4095,500,5153.979572,pursuer_1_0.4688539529985595,pursuer_1_1.384128051265014,pursuer_1_0
3015.6543,500,5153.979682,pursuer_0_0.37536025002443224,pursuer_0_1.4418203297174432,pursuer_0_0
1423.5171,500,5153.979792,pursuer_1_0.540992642234381,pursuer_1_1.2459900067849312,pursuer_1_0
2109.7458,500,5442.71614,pursuer_0_0.4719205898895044,pursuer_0_1.1342233024973134,pursuer_0_0
2440.0457,500,5442.71728,pursuer_1_0.4204567121260096,pursuer_1_1.3772484538245322,pursuer_1_0
1502.1736,500,5442.717471,pursuer_0_0.545617075853541,pursuer_0_1.372900088924746,pursuer_0_0
-248.94572,500,5442.717599,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
